,movieId,title,genres
111,125,Flirting With Disaster (1996),Comedy
116,135,Down Periscope (1996),Comedy
119,140,Up Close and Personal (1996),Drama|Romance
120,141,"Birdcage, The (1996)",Comedy
121,144,"Brothers McMullen, The (1995)",Comedy
122,145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
124,147,"Basketball Diaries, The (1995)",Drama
126,150,Apollo 13 (1995),Adventure|Drama|IMAX
127,151,Rob Roy (1995),Action|Drama|Romance|War
129,153,Batman Forever (1995),Action|Adventure|Comedy|Crime
130,154,Beauty of the Day (Belle de jour) (1967),Drama
134,158,Casper (1995),Adventure|Children
135,159,Clockers (1995),Crime|Drama|Mystery
136,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
137,161,Crimson Tide (1995),Drama|Thriller|War
138,162,Crumb (1994),Documentary
139,163,Desperado (1995),Action|Romance|Western
140,164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
141,165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
143,168,First Knight (1995),Action|Drama|Romance
144,169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
145,170,Hackers (1995),Action|Adventure|Crime|Thriller
147,172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
148,173,Judge Dredd (1995),Action|Crime|Sci-Fi
150,175,Kids (1995),Drama
155,180,Mallrats (1995),Comedy|Romance
160,185,"Net, The (1995)",Action|Crime|Thriller
161,186,Nine Months (1995),Comedy|Romance
163,188,"Prophecy, The (1995)",Fantasy|Horror|Mystery
166,193,Showgirls (1995),Drama
167,194,Smoke (1995),Comedy|Drama
168,195,Something to Talk About (1995),Comedy|Drama|Romance
169,196,Species (1995),Horror|Sci-Fi
170,198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
175,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
176,204,Under Siege 2: Dark Territory (1995),Action
179,207,"Walk in the Clouds, A (1995)",Drama|Romance
180,208,Waterworld (1995),Action|Adventure|Sci-Fi
187,215,Before Sunrise (1995),Drama|Romance
188,216,Billy Madison (1995),Comedy
190,218,Boys on the Side (1995),Comedy|Drama
193,222,Circle of Friends (1995),Drama|Romance
194,223,Clerks (1994),Comedy
195,224,Don Juan DeMarco (1995),Comedy|Drama|Romance
196,225,Disclosure (1994),Drama|Thriller
198,227,Drop Zone (1994),Action|Thriller
201,230,Dolores Claiborne (1995),Drama|Thriller
202,231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
203,232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
204,233,Exotica (1994),Drama
205,234,Exit to Eden (1994),Comedy
206,235,Ed Wood (1994),Comedy|Drama
207,236,French Kiss (1995),Action|Comedy|Romance
208,237,Forget Paris (1995),Comedy|Romance
216,246,Hoop Dreams (1994),Documentary
217,247,Heavenly Creatures (1994),Crime|Drama
218,248,Houseguest (1994),Comedy
219,249,Immortal Beloved (1994),Drama|Romance
222,252,I.Q. (1994),Comedy|Romance
223,253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
226,256,Junior (1994),Comedy|Sci-Fi
227,257,Just Cause (1995),Mystery|Thriller
230,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
231,261,Little Women (1994),Drama
232,262,"Little Princess, A (1995)",Children|Drama
234,265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
235,266,Legends of the Fall (1994),Drama|Romance|War|Western
236,267,Major Payne (1995),Comedy
241,272,"Madness of King George, The (1994)",Comedy|Drama
242,273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
245,276,Milk Money (1994),Comedy|Romance
246,277,Miracle on 34th Street (1994),Drama
249,280,Murder in the First (1995),Drama|Thriller
250,281,Nobody's Fool (1994),Comedy|Drama|Romance
251,282,Nell (1994),Drama
253,288,Natural Born Killers (1994),Action|Crime|Thriller
255,290,Once Were Warriors (1994),Crime|Drama
257,292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
258,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
260,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
262,299,Priest (1994),Drama
263,300,Quiz Show (1994),Drama
266,303,"Quick and the Dead, The (1995)",Action|Thriller|Western
268,305,Ready to Wear (Pret-A-Porter) (1994),Comedy
269,306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
270,307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
271,308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
275,314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
276,315,"Specialist, The (1994)",Action|Drama|Thriller
277,316,Stargate (1994),Action|Adventure|Sci-Fi
278,317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
279,318,"Shawshank Redemption, The (1994)",Crime|Drama
280,319,Shallow Grave (1994),Comedy|Drama|Thriller
287,327,Tank Girl (1995),Action|Comedy|Sci-Fi
289,329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
293,333,Tommy Boy (1995),Comedy
297,337,What's Eating Gilbert Grape (1993),Drama
298,338,Virtuosity (1995),Action|Sci-Fi|Thriller
299,339,While You Were Sleeping (1995),Comedy|Romance
302,342,Muriel's Wedding (1994),Comedy
304,344,Ace Ventura: Pet Detective (1994),Comedy
305,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
308,348,Bullets Over Broadway (1994),Comedy
309,349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
310,350,"Client, The (1994)",Drama|Mystery|Thriller
311,351,"Corrina, Corrina (1994)",Comedy|Drama|Romance
313,353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
315,355,"Flintstones, The (1994)",Children|Comedy|Fantasy
316,356,Forrest Gump (1994),Comedy|Drama|Romance|War
317,357,Four Weddings and a Funeral (1994),Comedy|Romance
318,358,Higher Learning (1995),Drama
319,360,I Love Trouble (1994),Action|Comedy
320,361,It Could Happen to You (1994),Comedy|Drama|Romance
321,362,"Jungle Book, The (1994)",Adventure|Children|Romance
323,364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
324,365,Little Buddha (1993),Drama
325,366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
326,367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
327,368,Maverick (1994),Adventure|Comedy|Western
329,370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
330,371,"Paper, The (1994)",Comedy|Drama
331,372,Reality Bites (1994),Comedy|Drama|Romance
332,373,Red Rock West (1992),Thriller
333,374,Richie Rich (1994),Children|Comedy
335,376,"River Wild, The (1994)",Action|Thriller
336,377,Speed (1994),Action|Romance|Thriller
338,379,Timecop (1994),Action|Sci-Fi|Thriller
339,380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
340,381,When a Man Loves a Woman (1994),Drama|Romance
341,382,Wolf (1994),Drama|Horror|Romance|Thriller
342,383,Wyatt Earp (1994),Western
352,393,Street Fighter (1994),Action|Adventure|Fantasy
355,405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
359,410,Addams Family Values (1993),Children|Comedy|Fantasy
360,412,"Age of Innocence, The (1993)",Drama
361,413,Airheads (1994),Comedy
363,415,Another Stakeout (1993),Comedy|Thriller
365,417,Barcelona (1994),Comedy|Romance
367,419,"Beverly Hillbillies, The (1993)",Comedy
368,420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
371,423,Blown Away (1994),Action|Thriller
374,426,Body Snatchers (1993),Horror|Sci-Fi|Thriller
375,427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
376,428,"Bronx Tale, A (1993)",Drama
379,431,Carlito's Way (1993),Crime|Drama
380,432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
382,434,Cliffhanger (1993),Action|Adventure|Thriller
383,435,Coneheads (1993),Comedy|Sci-Fi
388,440,Dave (1993),Comedy|Romance
389,441,Dazed and Confused (1993),Comedy
390,442,Demolition Man (1993),Action|Adventure|Sci-Fi
394,446,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
396,448,Fearless (1993),Drama
402,454,"Firm, The (1993)",Drama|Thriller
403,455,Free Willy (1993),Adventure|Children|Drama
405,457,"Fugitive, The (1993)",Thriller
411,464,Hard Target (1993),Action|Adventure|Crime|Thriller
413,466,Hot Shots! Part Deux (1993),Action|Comedy|War
415,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
418,471,"Hudsucker Proxy, The (1994)",Comedy
421,474,In the Line of Fire (1993),Action|Thriller
422,475,In the Name of the Father (1993),Drama
424,477,What's Love Got to Do with It? (1993),Drama|Musical
426,480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
427,481,Kalifornia (1993),Drama|Thriller
430,485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
434,489,Made in America (1993),Comedy
435,490,Malice (1993),Thriller
436,491,"Man Without a Face, The (1993)",Drama
437,492,Manhattan Murder Mystery (1993),Comedy|Mystery
438,493,Menace II Society (1993),Action|Crime|Drama
439,494,Executive Decision (1996),Action|Adventure|Thriller
442,497,Much Ado About Nothing (1993),Comedy|Romance
445,500,Mrs. Doubtfire (1993),Comedy|Drama
447,502,"Next Karate Kid, The (1994)",Action|Children|Romance
451,507,"Perfect World, A (1993)",Crime|Drama|Thriller
452,508,Philadelphia (1993),Drama
453,509,"Piano, The (1993)",Drama|Romance
458,514,"Ref, The (1994)",Comedy
459,515,"Remains of the Day, The (1993)",Drama|Romance
460,516,Renaissance Man (1994),Comedy|Drama
461,517,Rising Sun (1993),Action|Drama|Mystery
463,519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
464,520,Robin Hood: Men in Tights (1993),Comedy
468,524,Rudy (1993),Drama
471,527,Schindler's List (1993),Drama|War
473,529,Searching for Bobby Fischer (1993),Drama
474,531,"Secret Garden, The (1993)",Children|Drama
475,532,Serial Mom (1994),Comedy|Crime|Horror
476,533,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery
477,534,Shadowlands (1993),Drama|Romance
478,535,Short Cuts (1993),Drama
480,537,Sirens (1994),Drama
481,538,Six Degrees of Separation (1993),Drama
482,539,Sleepless in Seattle (1993),Comedy|Drama|Romance
483,540,Sliver (1993),Thriller
484,541,Blade Runner (1982),Action|Sci-Fi|Thriller
486,543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
487,544,Striking Distance (1993),Action|Crime
489,546,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
491,548,Terminal Velocity (1994),Action|Mystery|Thriller
492,549,Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical
493,550,Threesome (1994),Comedy|Romance
494,551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
495,552,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
496,553,Tombstone (1993),Action|Drama|Western
498,555,True Romance (1993),Crime|Thriller
502,562,Welcome to the Dollhouse (1995),Comedy|Drama
513,575,"Little Rascals, The (1994)",Children|Comedy
518,585,"Brady Bunch Movie, The (1995)",Comedy
519,586,Home Alone (1990),Children|Comedy
520,587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
521,588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
522,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
523,590,Dances with Wolves (1990),Adventure|Drama|Western
524,592,Batman (1989),Action|Crime|Thriller
525,593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
526,594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
527,595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
528,596,Pinocchio (1940),Animation|Children|Fantasy|Musical
529,597,Pretty Woman (1990),Comedy|Romance
530,599,"Wild Bunch, The (1969)",Adventure|Western
535,605,One Fine Day (1996),Drama|Romance
537,608,Fargo (1996),Comedy|Crime|Drama|Thriller
539,610,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
541,612,"Pallbearer, The (1996)",Comedy
545,616,"Aristocats, The (1970)",Animation|Children
551,627,"Last Supper, The (1995)",Drama|Thriller
552,628,Primal Fear (1996),Crime|Drama|Mystery|Thriller
554,631,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance
559,637,Sgt. Bilko (1996),Comedy
562,640,Diabolique (1996),Drama|Thriller
563,647,Courage Under Fire (1996),Action|Crime|Drama|War
564,648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
567,653,Dragonheart (1996),Action|Adventure|Fantasy
571,661,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
572,662,Fear (1996),Thriller
579,671,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
580,673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
581,674,Barbarella (1968),Adventure|Comedy|Sci-Fi
582,678,Some Folks Call It a Sling Blade (1993),Drama|Thriller
587,688,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War
591,694,"Substitute, The (1996)",Action|Crime|Drama
600,707,Mulholland Falls (1996),Crime|Drama|Thriller
601,708,"Truth About Cats & Dogs, The (1996)",Comedy|Romance
602,709,Oliver & Company (1988),Adventure|Animation|Children|Comedy|Musical
606,714,Dead Man (1995),Drama|Mystery|Western
610,719,Multiplicity (1996),Comedy
611,720,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
613,724,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller
616,728,Cold Comfort Farm (1995),Comedy
619,733,"Rock, The (1996)",Action|Adventure|Thriller
621,736,Twister (1996),Action|Adventure|Romance|Thriller
622,737,Barb Wire (1996),Action|Sci-Fi
623,741,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi
624,742,Thinner (1996),Horror|Thriller
625,743,Spy Hard (1996),Comedy
626,745,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy
629,748,"Arrival, The (1996)",Action|Sci-Fi|Thriller
630,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
637,761,"Phantom, The (1996)",Action|Adventure
638,762,Striptease (1996),Comedy|Crime
640,765,Jack (1996),Comedy|Drama
644,778,Trainspotting (1996),Comedy|Crime|Drama
646,780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
647,781,Stealing Beauty (1996),Drama
648,782,"Fan, The (1996)",Drama|Thriller
649,783,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance
650,784,"Cable Guy, The (1996)",Comedy|Thriller
651,785,Kingpin (1996),Comedy
652,786,Eraser (1996),Action|Drama|Thriller
653,788,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi
654,798,Daylight (1996),Action|Adventure|Drama|Thriller
655,799,"Frighteners, The (1996)",Comedy|Horror|Thriller
656,800,Lone Star (1996),Drama|Mystery|Western
658,802,Phenomenon (1996),Drama|Romance
660,804,She's the One (1996),Comedy|Romance
661,805,"Time to Kill, A (1996)",Drama|Thriller
665,809,Fled (1996),Action|Adventure
666,810,Kazaam (1996),Children|Comedy|Fantasy
668,818,"Very Brady Sequel, A (1996)",Comedy
674,830,"First Wives Club, The (1996)",Comedy
676,832,Ransom (1996),Crime|Thriller
680,836,Chain Reaction (1996),Action|Adventure|Thriller
681,837,Matilda (1996),Children|Comedy|Fantasy
682,838,Emma (1996),Comedy|Drama|Romance
683,839,"Crow: City of Angels, The (1996)",Action|Thriller
686,842,Tales from the Crypt Presents: Bordello of Blood (1996),Comedy|Horror
689,848,"Spitfire Grill, The (1996)",Drama
690,849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller
692,851,Basquiat (1996),Drama
693,852,Tin Cup (1996),Comedy|Drama|Romance
695,858,"Godfather, The (1972)",Crime|Drama
699,866,Bound (1996),Crime|Drama|Romance|Thriller
706,879,"Relic, The (1997)",Horror|Thriller
707,880,"Island of Dr. Moreau, The (1996)",Sci-Fi|Thriller
711,886,Bulletproof (1996),Action|Comedy|Crime
714,891,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),Horror|Thriller
719,898,"Philadelphia Story, The (1940)",Comedy|Drama|Romance
720,899,Singin' in the Rain (1952),Comedy|Musical|Romance
721,900,"American in Paris, An (1951)",Musical|Romance
723,902,Breakfast at Tiffany's (1961),Drama|Romance
724,903,Vertigo (1958),Drama|Mystery|Romance|Thriller
725,904,Rear Window (1954),Mystery|Thriller
726,905,It Happened One Night (1934),Comedy|Romance
729,908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
730,909,"Apartment, The (1960)",Comedy|Drama|Romance
731,910,Some Like It Hot (1959),Comedy|Crime
732,911,Charade (1963),Comedy|Crime|Mystery|Romance|Thriller
733,912,Casablanca (1942),Drama|Romance
734,913,"Maltese Falcon, The (1941)",Film-Noir|Mystery
735,914,My Fair Lady (1964),Comedy|Drama|Musical|Romance
736,915,Sabrina (1954),Comedy|Romance
737,916,Roman Holiday (1953),Comedy|Drama|Romance
739,918,Meet Me in St. Louis (1944),Musical
740,919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
741,920,Gone with the Wind (1939),Drama|Romance|War
742,921,My Favorite Year (1982),Comedy
743,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
744,923,Citizen Kane (1941),Drama|Mystery
745,924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
746,926,All About Eve (1950),Drama
748,928,Rebecca (1940),Drama|Mystery|Romance|Thriller
750,930,Notorious (1946),Film-Noir|Romance|Thriller
751,931,Spellbound (1945),Mystery|Romance|Thriller
752,932,"Affair to Remember, An (1957)",Drama|Romance
753,933,To Catch a Thief (1955),Crime|Mystery|Romance|Thriller
754,934,Father of the Bride (1950),Comedy
760,940,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance
762,942,Laura (1944),Crime|Film-Noir|Mystery
763,943,"Ghost and Mrs. Muir, The (1947)",Drama|Fantasy|Romance
765,945,Top Hat (1935),Comedy|Musical|Romance
766,946,To Be or Not to Be (1942),Comedy|Drama|War
768,948,Giant (1956),Drama|Romance|Western
769,949,East of Eden (1955),Drama
770,950,"Thin Man, The (1934)",Comedy|Crime
771,951,His Girl Friday (1940),Comedy|Romance
772,952,Around the World in 80 Days (1956),Adventure|Comedy
773,953,It's a Wonderful Life (1946),Drama|Fantasy|Romance
774,954,Mr. Smith Goes to Washington (1939),Drama
775,955,Bringing Up Baby (1938),Comedy|Romance
784,965,"39 Steps, The (1935)",Drama|Mystery|Thriller
787,968,Night of the Living Dead (1968),Horror|Sci-Fi|Thriller
788,969,"African Queen, The (1951)",Adventure|Comedy|Romance|War
790,971,Cat on a Hot Tin Roof (1958),Drama
799,986,Fly Away Home (1996),Adventure|Children
803,991,Michael Collins (1996),Drama
805,994,Big Night (1996),Comedy|Drama
806,996,Last Man Standing (1996),Action|Crime|Drama|Thriller
809,999,2 Days in the Valley (1996),Crime|Film-Noir
811,1003,Extreme Measures (1996),Drama|Thriller
817,1009,Escape to Witch Mountain (1975),Adventure|Children|Fantasy
820,1012,Old Yeller (1957),Children|Drama
821,1013,"Parent Trap, The (1961)",Children|Comedy|Romance
823,1015,Homeward Bound: The Incredible Journey (1993),Adventure|Children|Drama
825,1017,Swiss Family Robinson (1960),Adventure|Children
827,1019,"20,000 Leagues Under the Sea (1954)",Adventure|Drama|Sci-Fi
828,1020,Cool Runnings (1993),Comedy
829,1021,Angels in the Outfield (1994),Children|Comedy
830,1022,Cinderella (1950),Animation|Children|Fantasy|Musical|Romance
831,1023,Winnie the Pooh and the Blustery Day (1968),Animation|Children|Musical
833,1025,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical
834,1027,Robin Hood: Prince of Thieves (1991),Adventure|Drama
835,1028,Mary Poppins (1964),Children|Comedy|Fantasy|Musical
836,1029,Dumbo (1941),Animation|Children|Drama|Musical
837,1030,Pete's Dragon (1977),Adventure|Animation|Children|Musical
838,1031,Bedknobs and Broomsticks (1971),Adventure|Children|Musical
839,1032,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical
840,1033,"Fox and the Hound, The (1981)",Animation|Children|Drama
842,1035,"Sound of Music, The (1965)",Musical|Romance
843,1036,Die Hard (1988),Action|Crime|Thriller
844,1037,"Lawnmower Man, The (1992)",Action|Horror|Sci-Fi|Thriller
847,1041,Secrets & Lies (1996),Drama
848,1042,That Thing You Do! (1996),Comedy|Drama
852,1047,"Long Kiss Goodnight, The (1996)",Action|Drama|Thriller
853,1049,"Ghost and the Darkness, The (1996)",Action|Adventure
859,1057,Everyone Says I Love You (1996),Comedy|Musical|Romance
861,1059,William Shakespeare's Romeo + Juliet (1996),Drama|Romance
862,1060,Swingers (1996),Comedy|Drama
863,1061,Sleepers (1996),Thriller
865,1064,Aladdin and the King of Thieves (1996),Animation|Children|Comedy|Fantasy|Musical|Romance
872,1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
874,1077,Sleeper (1973),Comedy|Sci-Fi
875,1078,Bananas (1971),Comedy|War
876,1079,"Fish Called Wanda, A (1988)",Comedy|Crime
877,1080,Monty Python's Life of Brian (1979),Comedy
878,1081,Victor/Victoria (1982),Comedy|Musical|Romance
879,1082,"Candidate, The (1972)",Drama
881,1084,Bonnie and Clyde (1967),Crime|Drama
883,1086,Dial M for Murder (1954),Crime|Mystery|Thriller
885,1088,Dirty Dancing (1987),Drama|Musical|Romance
886,1089,Reservoir Dogs (1992),Crime|Mystery|Thriller
887,1090,Platoon (1986),Drama|War
888,1091,Weekend at Bernie's (1989),Comedy
889,1092,Basic Instinct (1992),Crime|Mystery|Thriller
890,1093,"Doors, The (1991)",Drama
891,1094,"Crying Game, The (1992)",Drama|Romance|Thriller
892,1095,Glengarry Glen Ross (1992),Drama
893,1096,Sophie's Choice (1982),Drama
894,1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
896,1100,Days of Thunder (1990),Action|Drama|Romance
897,1101,Top Gun (1986),Action|Romance
898,1103,Rebel Without a Cause (1955),Drama
899,1104,"Streetcar Named Desire, A (1951)",Drama
901,1111,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),Documentary
908,1120,"People vs. Larry Flynt, The (1996)",Comedy|Drama
911,1124,On Golden Pond (1981),Drama
912,1125,"Return of the Pink Panther, The (1975)",Comedy|Crime
913,1126,Drop Dead Fred (1991),Comedy|Fantasy
914,1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
916,1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller
918,1131,Jean de Florette (1986),Drama|Mystery
919,1132,Manon of the Spring (Manon des sources) (1986),Drama
921,1135,Private Benjamin (1980),Comedy
922,1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
924,1147,When We Were Kings (1996),Documentary
925,1148,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime
926,1150,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",Drama
937,1171,Bob Roberts (1992),Comedy
938,1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),Drama
939,1173,"Cook the Thief His Wife & Her Lover, The (1989)",Comedy|Drama
940,1175,Delicatessen (1991),Comedy|Drama|Romance
943,1178,Paths of Glory (1957),Drama|War
944,1179,"Grifters, The (1990)",Crime|Drama|Film-Noir
946,1183,"English Patient, The (1996)",Drama|Romance|War
948,1185,My Left Foot (1989),Drama
